共同物种列表:
Acacia dealbata
Carex otrubae
Carex riparia
Carica papaya
Carlina acanthifolia
Carlina acaulis
Carlina corymbosa
Carpinus betulus
Carpobrotus edulis
Castanea sativa
Catalpa bignonioides
Catananche caerulea
Cedrus atlantica
Celtis australis
Centaurea aspera
Centaurea calcitrapa
Centaurea corymbosa
Centaurea decipiens
Centaurea jacea
Centaurea nigra
Centaurea paniculata
Centaurea pectinata
Centaurea scabiosa
Centaurium erythraea
Centaurium maritimum
Centella asiatica
Cephalanthera longifolia
Cephalanthera rubra
Cephalaria leucantha
Cerastium glomeratum
Ceratonia siliqua
Cercis siliquastrum
Chaenorrhinum minus
Chamaerops humilis
Chelidonium majus
Chenopodium album
Chondrilla juncea
Cichorium intybus
Circaea lutetiana
Cistus albidus
Cistus monspeliensis
Cistus salviifolius
Citrus limon
Clematis flammula
Clematis vitalba
Clinopodium nepeta
Clinopodium vulgare
Cneorum tricoccon
Cochlearia danica
Colchicum autumnale
Colutea arborescens
Convallaria majalis
Convolvulus althaeoides
Convolvulus arvensis
Convolvulus cantabrica
Convolvulus sepium
Convolvulus soldanella
Coriaria myrtifolia
Cornus mas
Cornus sanguinea
Coronilla glauca
Coronilla juncea
Coronilla valentina
Coronilla varia
Corydalis solida
Corylus avellana
Cotinus coggygria
Crataegus azarolus
Crataegus germanica
Crataegus laevigata
Crataegus monogyna
Crepis bursifolia
Crepis capillaris
Crepis foetida
Crepis sancta
Crepis setosa
Crithmum maritimum
Crocus nudiflorus
Cruciata laevipes
Cucumis sativus
Cupressus sempervirens
Cyanus montanus
Cyanus segetum
Cyclamen hederifolium
Cydonia oblonga
Cynoglossum creticum
Cypripedium calceolus
Cytisus lanigerus
Cytisus oromediterraneus
Cytisus scoparius
Dactylis glomerata
Dactylorhiza fuchsii
Dactylorhiza incarnata
Dactylorhiza maculata
Dactylorhiza majalis
Dactylorhiza sambucina
Datura stramonium
Dianthus armeria
Dianthus carthusianorum
Dianthus gallicus
Dianthus hyssopifolius
Dicentra spectabilis
Digitalis grandiflora
Digitalis lutea
Digitalis purpurea
Dioscorea communis
Diospyros kaki
Dipcadi serotinum
Diphasiastrum tristachyum
Diplotaxis erucoides
Diplotaxis tenuifolia
Dipsacus fullonum
Dittrichia viscosa
Doronicum grandiflorum
Dorycnium hirsutum
Dorycnium pentaphyllum
Draba verna
Dracunculus vulgaris
Drosera rotundifolia
Ecballium elaterium
Echinophora spinosa
Echinops ritro
Echium vulgare
Elaeagnus angustifolia
Ephedra distachya
Epilobium angustifolium
Epilobium dodonaei
Epilobium hirsutum
Epilobium tetragonum
Equisetum telmateia
Eranthis hyemalis
Erica arborea
Erica cinerea
Erica tetralix
Erica vagans
Erigeron annuus
Erigeron canadensis
Erigeron karvinskianus
Erigeron sumatrensis
Erinus alpinus
Eriobotrya japonica
Eriophorum angustifolium
Erodium ciconium
Erodium cicutarium
Erodium foetidum
Erodium malacoides
Eryngium bourgatii
Eryngium campestre
Eryngium maritimum
Eryngium spinalba
Erysimum cheiri
Erythronium dens-canis
Eschscholzia californica
Euonymus europaeus
Euonymus latifolius
Eupatorium cannabinum
Euphorbia amygdaloides
Euphorbia characias
Euphorbia cyparissias
Euphorbia dendroides
Euphorbia flavicoma
Euphorbia helioscopia
Euphorbia lathyris
Euphorbia nicaeensis
Euphorbia paralias
Euphorbia peplis
Euphorbia peplus
Euphorbia segetalis
Euphorbia seguieriana
Euphorbia serrata
Euphorbia spinosa
Fagus sylvatica
Fatsia japonica
Feijoa sellowiana
Ferula communis
Ficaria verna
Ficus carica
Filipendula ulmaria
Filipendula vulgaris
Foeniculum vulgare
Frangula dodonei
Fraxinus angustifolia
Fraxinus excelsior
Fraxinus ornus
Fritillaria meleagris
Fritillaria pyrenaica
Fumaria capreolata
Fumaria officinalis
Gagea bohemica
Gagea granatelli
Galactites tomentosus
Galanthus nivalis
Galeopsis tetrahit
Galinsoga quadriradiata
Galium aparine
Galium odoratum
Galium verum
Genista hispanica
Genista pilosa
Genista sagittalis
Genista scorpius
Genista tinctoria
Gentiana acaulis
Gentiana alpina
Gentiana burseri
Gentiana cruciata
Gentiana lutea
Gentiana nivalis
Gentiana pneumonanthe
Gentiana purpurea
Gentiana pyrenaica
Gentiana verna
Gentianella campestris
Gentianopsis ciliata
Geranium columbinum
Geranium dissectum
Geranium lucidum
Geranium molle
Geranium nodosum
Geranium phaeum
Geranium pratense
Geranium pusillum
Geranium pyrenaicum
Geranium robertianum
Geranium rotundifolium
Geranium sanguineum
Geranium sylvaticum
Geum montanum
Geum reptans
Geum rivale
Geum urbanum
Ginkgo biloba
Gladiolus italicus
Glaucium flavum
Glechoma hederacea
Gleditsia triacanthos
Globularia alypum
Globularia bisnagarica
Globularia repens
Gymnadenia conopsea
Gymnadenia nigra
Hedera helix
Helianthemum apenninum
Helianthemum nummularium
Helianthus annuus
Helichrysum stoechas
Heliotropium europaeum
Helleborus foetidus
Helleborus viridis
Hemerocallis fulva
Heracleum pyrenaicum
Heracleum sphondylium
Hesperis matronalis
Hibiscus rosa-sinensis
Hibiscus syriacus
Himantoglossum hircinum
Himantoglossum robertianum
Hippocrepis comosa
Hippocrepis emerus
Holcus lanatus
Homogyne alpina
Hormathophylla spinosa
Hyacinthoides non-scripta
Hydrangea macrophylla
Hylotelephium telephium
Hyparrhenia hirta
Hypochaeris radicata
Ilex aquifolium
Impatiens balfouri
Impatiens glandulifera
Imperatoria ostruthium
Inula conyza
Iris foetidissima
Iris lutescens
Iris pseudacorus
Isatis tinctoria
Jacobaea adonidifolia
Jacobaea erucifolia
Jacobaea maritima
Jacobaea vulgaris
Jasione montana
Jasminum fruticans
Juglans nigra
Juglans regia
Juncus bulbosus
Juncus effusus
Juncus gerardi
Juniperus communis
Juniperus oxycedrus
Juniperus phoenicea
Juniperus sabina
Kerria japonica
Kickxia spuria
Knautia arvensis
Knautia maxima
Koelreuteria paniculata
Laburnum anagyroides
Lagurus ovatus
Lantana camara
Larix decidua
Lathyrus cicera
Lathyrus latifolius
Lathyrus pratensis
Lathyrus sylvestris
Laurus nobilis
Legousia speculum-veneris
Leontodon hispidus
Leontopodium nivale
Lepidium draba
Leucanthemopsis alpina
Leucanthemum vulgare
Ligustrum vulgare
Lilium martagon
Lilium pyrenaicum
Limodorum abortivum
Limoniastrum monopetalum
Limonium narbonense
Limonium vulgare
Linaria alpina
Linaria repens
Linaria supina
Linaria vulgaris
Linum campanulatum
Linum narbonense
Linum suffruticosum
Linum usitatissimum
Lippia triphylla
Liquidambar styraciflua
Lithospermum officinale
Lobularia maritima
Loncomelos pyrenaicus
Lonicera alpigena
Lonicera etrusca
Lonicera implexa
Lonicera periclymenum
Lonicera xylosteum
Lotus corniculatus
Lotus edulis
Lotus maritimus
Lunaria annua
Luzula campestris
Lychnis coronaria
Lychnis flos-cuculi
Lycopsis arvensis
Lycopus europaeus
Lysimachia arvensis
Lysimachia nemorum
Lysimachia vulgaris
Lythrum salicaria
Magnolia grandiflora
Malus domestica
Malus sylvestris
Malva arborea
Malva moschata
Malva neglecta
Malva setigera
Malva sylvestris
Matricaria chamomilla
Matthiola incana
Matthiola sinuata
Maytenus canariensis
Meconopsis cambrica
Medicago arborea
Medicago lupulina
Medicago sativa
Melampyrum pratense
Melia azedarach
Melissa officinalis
Melittis melissophyllum
Mentha aquatica
Mentha arvensis
Mentha longifolia
Mentha spicata
Mentha suaveolens
Microthlaspi perfoliatum
Mirabilis jalapa
Misopates orontium
Monotropa hypopitys
Morus alba
Morus kagayamae
Muscari comosum
Muscari neglectum
Myosotis alpestris
Myosotis arvensis
Myosotis scorpioides
Myrtus communis
Narcissus assoanus
Narcissus dubius
Narcissus pseudonarcissus
Narcissus tazetta
Nasturtium officinale
Neottia nidus-avis
Neottia ovata
Nerium oleander
Nigella damascena
Odontites luteus
Odontites vernus
Oenanthe crocata
Oenothera biennis
Oenothera glazioviana
Olea europaea
Onobrychis viciifolia
Ononis minutissima
Ononis natrix
Ononis reclinata
Ononis spinosa
Onopordum acanthium
Opuntia ficus-indica
Orchis anthropophora
Orchis mascula
Orchis provincialis
Orchis purpurea
Orchis simia
Origanum vulgare
Ornithogalum umbellatum
Orobanche amethystea
Orobanche caryophyllacea
Orobanche gracilis
Orobanche hederae
Orobanche minor
Orobanche rapum-genistae
Ostrya carpinifolia
Oxalis articulata
Oxalis corniculata
Paliurus spina-christi
Pallenis spinosa
Pardoglossum cheirifolium
Parietaria judaica
Paris quadrifolia
Parnassia palustris
Parthenocissus quinquefolia
Parthenocissus tricuspidata
Passiflora caerulea
Pastinaca sativa
Paulownia tomentosa
Persicaria maculosa
Petasites pyrenaicus
Phacelia tanacetifolia
Philadelphus coronarius
Phillyrea angustifolia
Phillyrea media
Phleum pratense
Phlomis fruticosa
Photinia serrulata
Phyteuma hemisphaericum
Phyteuma spicatum
Phytolacca americana
Picris hieracioides
Pilosella aurantiaca
Pilosella lactucella
Pilosella officinarum
Pinguicula grandiflora
Pinus brutia
Pinus cembra
Pinus halepensis
Pinus mugo
Pinus nigra
Pinus pinaster
Pinus pinea
Pinus sylvestris
Pistacia lentiscus
Pistacia terebinthus
Pittosporum tenuifolium
Pittosporum tobira
Plantago coronopus
Plantago lagopus
Plantago lanceolata
Plantago major
Plantago maritima
Plantago media
Platanthera bifolia
Platanthera chlorantha
Platanus orientalis
Platanus x
Poa annua
Polygala vulgaris
Polygonatum multiflorum
Polygonatum odoratum
Polypodium vulgare
Polystichum setiferum
Populus alba
Populus nigra
Populus tremula
Populus trichocarpa
Portulaca oleracea
Potentilla erecta
Potentilla indica
Potentilla recta
Potentilla reptans
Potentilla sterilis
Potentilla tabernaemontani
Poterium sanguisorba
Prenanthes purpurea
Primula elatior
Primula veris
Primula vulgaris
Prospero autumnale
Prunella grandiflora
Prunella hastifolia
Prunella laciniata
Prunella vulgaris
Prunus armeniaca
Prunus avium
Prunus cerasifera
Prunus dulcis
Prunus laurocerasus
Prunus mahaleb
Prunus padus
Prunus serotina
Prunus serrulata
Prunus spinosa
Pseudorchis albida
Pseudoturritis turrita
Pteridium aquilinum
Pterocarya fraxinifolia
Pulicaria dysenterica
Pyrus communis
Quercus cerris
Quercus coccifera
Quercus ilex
Quercus palustris
Quercus petraea
Quercus pubescens
Quercus robur
Quercus rubra
Quercus suber
Ranunculus aconitifolius
Ranunculus acris
Ranunculus bulbosus
Ranunculus flammula
Ranunculus gramineus
Ranunculus paludosus
Ranunculus parviflorus
Ranunculus peltatus
Ranunculus platanifolius
Ranunculus repens
Ranunculus sceleratus
Ranunculus trichophyllus
Raphanus raphanistrum
Reseda lutea
Reseda luteola
Reseda phyteuma
Reynoutria japonica
Rhamnus alaternus
Rhamnus alpina
Rhamnus cathartica
Rhamnus pumila
Rhaponticum coniferum
Rhinanthus alectorolophus
Rhinanthus minor
Rhododendron ferrugineum
Rhus coriaria
Rhus typhina
Ribes rubrum
Robinia pseudoacacia
Rosa agrestis
Rosa canina
Rosa pendulina
Rosa spinosissima
Rosmarinus officinalis
Rubia tinctorum
Rubus fruticosus
Rubus idaeus
Rubus pedatifolius
Rubus ulmifolius
Rumex acetosella
Rumex crispus
Rumex obtusifolius
Ruscus aculeatus
Ruta montana
Salix alba
Salix babylonica
Salix caprea
Salix cinerea
Salix fragilis
Salix herbacea
Salvia officinalis
Salvia pratensis
Salvia verbenaca
Sambucus ebulus
Sambucus nigra
Sambucus racemosa
Saponaria ocymoides
Saponaria officinalis
Satureja montana
Saxifraga aizoides
Saxifraga granulata
Saxifraga media
Saxifraga moschata
Saxifraga paniculata
Saxifraga tridactylites
Scabiosa atropurpurea
Scabiosa columbaria
Scilla luciliae
Scolymus hispanicus
Scorzoneroides pyrenaica
Scrophularia auriculata
Scrophularia nodosa
Scutellaria galericulata
Sempervivum arachnoideum
Sempervivum montanum
Sempervivum tectorum
Senecio doronicum
Senecio inaequidens
Senecio ovatus
Senecio vulgaris
Serapias lingua
Serapias vomeracea
Sherardia arvensis
Sideritis romana
Silene acaulis
Silene baccifera
Silene conica
Silene dioica
Silene gallica
Silene italica
Silene latifolia
Silene nutans
Silene uniflora
Silene vulgaris
Silybum marianum
Sinapis arvensis
Sisymbrium irio
Sisymbrium officinale
Smyrnium olusatrum
Solanum dulcamara
Solanum nigrum
Soldanella alpina
Solidago virgaurea
Sonchus asper
Sonchus tenerrimus
Sophora japonica
Sorbus aria
Sorbus aucuparia
Sorbus domestica
Sorbus intermedia
Sorbus torminalis
Spartium junceum
Spergula arvensis
Spergula media
Spiranthes spiralis
Stachys recta
Stachys sylvatica
Staehelina dubia
Stellaria holostea
Stellaria media
Succisa pratensis
Symphytum officinale
Symphytum tuberosum
Syringa vulgaris
Tanacetum vulgare
Taraxacum campylodes
Taraxacum officinale
Taxus baccata
Teucrium chamaedrys
Teucrium flavum
Teucrium fruticans
Teucrium montanum
Teucrium scorodonia
Thalictrum aquilegiifolium
Thymus serpyllum
Thymus vulgaris
Tilia cordata
Tilia dasystyla
Tilia platyphyllos
Tordylium apulum
Tordylium maximum
Torilis arvensis
Tozzia alpina
Tractema lilio-hyacinthus
Tractema verna
Tragopogon porrifolius
Tragopogon pratensis
Tribulus terrestris
Tripleurospermum inodorum
Tripodion tetraphyllum
Tripolium pannonicum
Trollius europaeus
Tuberaria guttata
Tulipa sylvestris
Tussilago farfara
Ulex europaeus
Ulex gallii
Ulmus minor
Umbilicus rupestris
Urospermum dalechampii
Urtica dioica
Vaccinium myrtillus
Vaccinium vitis-idaea
Valeriana celtica
Valeriana officinalis
Veratrum album
Verbascum blattaria
Verbascum boerhavii
Verbascum lychnitis
Verbascum nigrum
Verbascum pulverulentum
Verbascum sinuatum
Verbascum thapsus
Verbena officinalis
Veronica anagallis-aquatica
Veronica arvensis
Veronica beccabunga
Veronica chamaedrys
Veronica cymbalaria
Veronica hederifolia
Veronica officinalis
Veronica persica
Veronica serpyllifolia
Viburnum lantana
Viburnum opulus
Viburnum rhytidophyllum
Viburnum tinus
Vicia cracca
Vicia hirsuta
Vicia hybrida
Vicia pannonica
Vicia sativa
Vicia sepium
Vinca major
Vinca minor
Vincetoxicum hirundinaria
Vincetoxicum nigrum
Viola alba
Viola arvensis
Viola biflora
Viola calcarata
Viola cornuta
Viola lutea
Viola odorata
Viola riviniana
Viola tricolor
Viscum album
Vitex agnus-castus
Vitis vinifera
Wisteria sinensis

仅在PlantNet300K中的物种:
Abeliophyllum distichum
Acacia angustissima
Acacia auriculiformis
Acacia baileyana
Acacia berlandieri
Acacia brevispica
Acacia caven
Acacia cognata
Acacia confluens
Acacia confusa
Acacia drepanolobium
Acacia etbaica
Acacia farnesiana
Acacia heterophylla
Acacia hockii
Acacia koaia
Acacia longifolia
Acacia mangium
Acacia mearnsii
Acacia melanoxylon
Acacia mellifera
Acacia nilotica
Acacia podalyriifolia
Acacia pravissima
Acacia pycnantha
Acacia redolens
Acacia retinodes
Acacia rigidula
Acacia saligna
Acacia senegalensis
Acacia seyal
Acacia simplex
Acacia spirorbis
Acacia tortilis
Acacia tortuosa
Acacia xanthophloea
Acalypha aristata
Acalypha crenata
Acalypha hispida
Acalypha indica
Acalypha integrifolia
Acalypha macrostachya
Acalypha virginica
Acalypha wilkesiana
Achyranthes aspera
Aciotis rubricaulis
Adenostyles alpina
Adenostyles leucophylla
Adlumia fungosa
Adonis aestivalis
Adonis flammea
Adonis microcarpa
Adonis pyrenaica
Adonis vernalis
Aeschynomene americana
Aextoxicon punctatum
Aizoanthemum hispanicum
Aizoon canariense
Alcea biennis
Alcea setosa
Alibertia edulis
Alocasia baginda
Alocasia cucullata
Alocasia cuprea
Alocasia lauterbachiana
Alocasia longiloba
Alocasia macrorrhizos
Alocasia micholitziana
Alocasia odora
Alocasia reginula
Alocasia sanderiana
Alocasia wentii
Alocasia zebrina
Anemone apennina
Anemone baldensis
Anemone blanda
Anemone canadensis
Anemone halleri
Anemone hortensis
Anemone hupehensis
Anemone montana
Anemone multifida
Anemone narcissiflora
Anemone palmata
Anemone patens
Anemone pavoniana
Anemone pratensis
Anemone sylvestris
Anemone tomentosa
Anemone trifolia
Anemone virginiana
Anemone vitifolia
Anemone x hybrida
Angelica archangelica
Angelica atropurpurea
Angelica lucida
Angelica razulii
Angostura granulosa
Anisocampium niponicum
Ansellia africana
Anthericum ramosum
Anthurium andraeanum
Anthurium clarinervium
Anthurium crystallinum
Anthurium faustomirandae
Anthurium hookeri
Anthurium jenmanii
Anthurium salvinii
Anthurium scandens
Anthurium scherzerianum
Anthurium schlechtendalii
Anthurium veitchii
Anthurium warocqueanum
Antirhea borbonica
Aphelandra aurantiaca
Aphelandra scabra
Aphelandra sinclairiana
Aphelandra squarrosa
Aralia californica
Aralia elata
Aralia hispida
Aralia nudicaulis
Aralia racemosa
Aralia spinosa
Aristea abyssinica
Aristea ecklonii
Arthraxon hispidus
Aspilia mossambicensis
Aspilia pluriseta
Astydamia latifolia
Asystasia charmian
Asystasia gangetica
Asystasia mysorensis
Asystasia riparia
Atocion rupestre
Atractocarpus platyxylon
Balsamorhiza sagittata
Barbarea intermedia
Barbarea orthoceras
Barbarea rupicola
Barbarea verna
Barringtonia acutangula
Barringtonia asiatica
Bellium bellidioides
Berula erecta
Bismarckia nobilis
Bocoa prouacensis
Bonafousia undulata
Boscia angustifolia
Boscia coriacea
Boscia mossambicensis
Bourreria andrieuxii
Bourreria costaricensis
Bourreria succulenta
Breynia disticha
Breynia vitis-idaea
Brodiaea elegans
Browallia americana
Browallia speciosa
Butomus umbellatus
Calendula stellata
Calochortus eurycarpus
Calochortus gunnisonii
Calochortus leichtlinii
Calochortus luteus
Calochortus macrocarpus
Calochortus splendens
Calochortus tolmiei
Calodendrum capense
Calycanthus floridus
Calycanthus occidentalis
Calylophus hartwegii
Caraipa densifolia
Caraipa punctulata
Carthamus caeruleus
Carthamus carduncellus
Carthamus mitissimus
Carthamus tinctorius
Casuarina equisetifolia
Cedrela fissilis
Cedrela odorata
Cenchrus ciliaris
Cenchrus clandestinus
Cenchrus echinatus
Cenchrus longisetus
Cenchrus longispinus
Cenchrus purpureus
Cenchrus setaceus
Centranthus calcitrapae
Centranthus lecoqii
Cerbera manghas
Cereus forbesii
Cereus hexagonus
Cereus hildmannianus
Cereus jamacaru
Cereus repandus
Cereus uruguayanus
Chaerophyllum aromaticum
Chaerophyllum aureum
Chaerophyllum bulbosum
Chaerophyllum hirsutum
Chaerophyllum tainturieri
Chaerophyllum temulum
Chaerophyllum villarsii
Chamerion latifolium
Cirsium alsophilum
Cirsium altissimum
Cirsium canum
Cirsium discolor
Cirsium dissectum
Cirsium erisithales
Cirsium ferox
Cirsium filipendulum
Cirsium foliosum
Cirsium glabrum
Cirsium heterophyllum
Cirsium horridulum
Cirsium monspessulanum
Cirsium morisianum
Cirsium muticum
Cirsium rivulare
Cirsium spinosissimum
Cirsium texanum
Cirsium tuberosum
Cirsium undulatum
Clethra alnifolia
Cobaea scandens
Collomia grandiflora
Comptonia peregrina
Conoclinium coelestinum
Conostomium kenyense
Conostomium quadrangulare
Cordyla africana
Corispermum pallasii
Coryphantha elephantidens
Couroupita guianensis
Coussapoa villosa
Crotalaria brevidens
Crotalaria chrysochlora
Crotalaria deflersii
Crotalaria incana
Crotalaria juncea
Crotalaria laburnifolia
Crotalaria pallida
Crotalaria polysperma
Crotalaria pumila
Crotalaria retusa
Crotalaria spectabilis
Crotalaria uguenensis
Crotalaria verrucosa
Cryptopus elatus
Cryptostegia grandiflora
Cryptostegia madagascariensis
Cucurbita ficifolia
Cucurbita foetidissima
Cucurbita maxima
Cucurbita moschata
Cucurbita pepo
Cyanotis somaliensis
Cymbalaria aequitriloba
Cymbalaria hepaticifolia
Cyphostemma cyphopetalum
Cyphostemma juttae
Cyphostemma serpens
Cyrtanthus elatus
Cytinus hypocistis
Cytinus ruber
Dalbergia latifolia
Dalbergia melanoxylon
Dalbergia retusa
Dalbergia sissoo
Dalea purpurea
Danthonia decumbens
Daphne alpina
Daphne odora
Daphne oleoides
Daphne sericea
Daphne striata
Daphne tangutica
Daucus muricatus
Daucus pusillus
Declieuxia fruticosa
Dendrobium anosmum
Dendrobium aphyllum
Dendrobium chrysotoxum
Dendrobium closterium
Dendrobium crumenatum
Dendrobium kingianum
Dendrobium moschatum
Dendrobium munificum
Dendrobium nobile
Dendrobium spp
Dendrobium thyrsiflorum
Dendrobium victoriae-reginae
Diascia rigescens
Diascia vigilis
Diatelia tuberaria
Dierama pulcherrimum
Diervilla lonicera
Diervilla sessilifolia
Dischidia nummularia
Dischidia ovata
Dorotheanthus bellidiformis
Dracontium polyphyllum
Dracophyllum verticillatum
Dryopteris aemula
Dryopteris affinis
Dryopteris carthusiana
Dryopteris cristata
Dryopteris cycadina
Dryopteris dilatata
Dryopteris erythrosora
Dryopteris expansa
Dryopteris fragrans
Dryopteris intermedia
Dryopteris marginalis
Dryopteris sieboldii
Dryopteris villarii
Dryopteris wallichiana
Dubouzetia campanulata
Dubouzetia confusa
Duchesnea indica
Egeria densa
Elephantopus elatus
Elodea canadensis
Empetrum nigrum
Empetrum rubrum
Entada gigas
Entada phaseoloides
Epipactis gigantea
Epipactis leptochila
Epipactis microphylla
Epipactis muelleri
Epipactis phyllanthes
Epipactis purpurata
Eranthemum pulchellum
Erechtites hieraciifolius
Erechtites minima
Erianthemum dregei
Eritrichium nanum
Erucastrum gallicum
Erucastrum incanum
Erucastrum nasturtiifolium
Erycina pusilla
Eucryphia cordifolia
Falcaria vulgaris
Falcataria moluccana
Faujasia salicifolia
Fedia cornucopiae
Fedia graciliflora
Fernelia buxifolia
Fibigia clypeata
Fittonia albivenis
Fragaria chiloensis
Fragaria moschata
Fragaria virginiana
Fragaria viridis
Fragaria x ananassa
Freesia alba
Freesia refracta
Freesia x hybrida
Freycinetia cumingiana
Galega officinalis
Galega orientalis
Garrya elliptica
Geniostoma borbonicum
Geropogon hybridus
Gomphocarpus fruticosus
Gomphocarpus integer
Gomphocarpus physocarpus
Goniolimon tataricum
Groenlandia densa
Guaiacum officinale
Guaiacum sanctum
Guarea gomma
Guatteria aeruginosa
Guatteria amplifolia
Guatteria anteridifera
Guatteria citriodora
Guatteria dolichopoda
Guatteria punctata
Guizotia abyssinica
Gymnosporia putterlickioides
Gynura aurantiaca
Gynura procumbens
Hackelia velutina
Haplophyton crooksii
Harpachne schimperi
Hebe andersonii
Hebe brachysiphon
Hebe franciscana
Hebe ochracea
Hebe salicifolia
Helicodiceros muscivorus
Hepatica nobilis
Herbertia lahue
Hernandia cordigera
Hernandia mascarenensis
Hernandia nymphaeifolia
